settlement_id,txn_id,settlement_batch,settled_at,gross_paise,fee_paise,tax_paise,net_paise
STL_0001,TXN_0001,STL_2026_08,2026-08-16T00:00:00Z,9999,200,36,9763
STL_0002,TXN_0002,STL_2026_08,2026-08-17T00:00:00Z,250001,5000,900,244101
STL_0003,TXN_0003,STL_2026_08,2026-08-15T00:00:00Z,55555,1111,200,54244
STL_0004,TXN_0004,STL_2026_08,2026-08-16T00:00:00Z,375050,7501,1350,366199
STL_0005,TXN_0005,STL_2026_08,2026-08-17T00:00:00Z,380400,7608,1369,371423
STL_0006,TXN_0006,STL_2026_08,2026-08-15T00:00:00Z,999950,19999,3600,976351
STL_0007,TXN_0007,STL_2026_08,2026-08-16T00:00:00Z,250001,5000,900,244101
STL_0008,TXN_0008,STL_2026_08,2026-08-17T00:00:00Z,250001,5000,900,244101
STL_0009,TXN_0009,STL_2026_08,2026-08-15T00:00:00Z,9999,200,36,9763
STL_0010,TXN_0010,STL_2026_08,2026-08-16T00:00:00Z,199999,4000,720,195279
STL_0011,TXN_0011,STL_2026_08,2026-08-17T00:00:00Z,77777,1556,280,75941
STL_0012,TXN_0012,STL_2026_08,2026-08-15T00:00:00Z,88888,1778,320,86790
STL_0013,TXN_0013,STL_2026_08,2026-08-16T00:00:00Z,9999,200,36,9763
STL_0014,TXN_0014,STL_2026_08,2026-08-17T00:00:00Z,375050,7501,1350,366199
STL_0015,TXN_0015,STL_2026_08,2026-08-15T00:00:00Z,242717,4854,874,236989
STL_0016,TXN_0016,STL_2026_08,2026-08-16T00:00:00Z,199999,4000,720,195279
STL_0017,TXN_0017,STL_2026_08,2026-08-17T00:00:00Z,144973,2899,522,141552
STL_0018,TXN_0018,STL_2026_08,2026-08-15T00:00:00Z,123456,2469,444,120543
STL_0019,TXN_0019,STL_2026_08,2026-08-16T00:00:00Z,55555,1111,200,54244
STL_0020,TXN_0020,STL_2026_08,2026-08-17T00:00:00Z,123456,2469,444,120543
STL_0021,TXN_0021,STL_2026_08,2026-08-15T00:00:00Z,133749,2675,482,130592
STL_0022,TXN_0022,STL_2026_08,2026-08-16T00:00:00Z,199999,4000,720,195279
STL_0023,TXN_0023,STL_2026_08,2026-08-17T00:00:00Z,375050,7501,1350,366199
STL_0024,TXN_0024,STL_2026_08,2026-08-15T00:00:00Z,77777,1556,280,75941
STL_0025,TXN_0025,STL_2026_08,2026-08-16T00:00:00Z,250001,5000,900,244101
STL_0026,TXN_0026,STL_2026_08,2026-08-17T00:00:00Z,123456,2469,444,120543
STL_0027,TXN_0027,STL_2026_08,2026-08-15T00:00:00Z,55555,1111,200,54244
STL_0028,TXN_0028,STL_2026_08,2026-08-16T00:00:00Z,250001,5000,900,244101
STL_0029,TXN_0029,STL_2026_08,2026-08-17T00:00:00Z,133749,2675,482,130592
STL_0030,TXN_0030,STL_2026_08,2026-08-15T00:00:00Z,88876,1778,320,86778
STL_0031,TXN_0031,STL_2026_08,2026-08-16T00:00:00Z,55555,1111,200,54244
STL_0032,TXN_0032,STL_2026_08,2026-08-17T00:00:00Z,123456,2469,444,120543
STL_0033,TXN_0033,STL_2026_08,2026-08-15T00:00:00Z,133749,2675,482,130592
STL_0034,TXN_0034,STL_2026_08,2026-08-16T00:00:00Z,407967,8159,1469,398339
STL_0035,TXN_0035,STL_2026_08,2026-08-17T00:00:00Z,55555,1111,200,54244
STL_0036,TXN_0036,STL_2026_08,2026-08-15T00:00:00Z,88888,1778,320,86790
STL_0037,TXN_0037,STL_2026_08,2026-08-16T00:00:00Z,9999,200,36,9763
STL_0038,TXN_0038,STL_2026_08,2026-08-17T00:00:00Z,999950,19999,3600,976351
STL_0039,TXN_0039,STL_2026_08,2026-08-15T00:00:00Z,250001,5000,900,244101
STL_0040,TXN_0040,STL_2026_08,2026-08-16T00:00:00Z,133749,2675,482,130592
