txn_id,merchant_id,fee_plan_id,amount_paise,currency,payment_method,card_network,is_international,captured_at,is_refund,parent_txn_id,is_credit_on_upi
TXN_0001,M_ALPHA,PLN_STD,9999,INR,card,rupay,False,2026-08-14T07:13:17Z,False,,False
TXN_0002,M_ALPHA,PLN_STD,250001,INR,card,,False,2026-08-14T14:26:34Z,False,,False
TXN_0003,M_ALPHA,PLN_STD,55555,INR,card,visa,False,2026-08-14T21:39:51Z,False,,False
TXN_0004,M_ALPHA,PLN_STD,375050,INR,card,,False,2026-08-14T04:52:08Z,False,,False
TXN_0005,M_ALPHA,PLN_STD,380400,INR,wallet,,False,2026-08-14T11:05:25Z,False,,False
TXN_0006,M_ALPHA,PLN_STD,999950,INR,netbanking,,False,2026-08-14T18:18:42Z,False,,False
TXN_0007,M_BETA,PLN_STD,250001,INR,wallet,,False,2026-08-14T01:31:59Z,False,,False
TXN_0008,M_BETA,PLN_STD,250001,INR,upi,,False,2026-08-14T08:44:16Z,False,,False
TXN_0009,M_ALPHA,PLN_STD,9999,INR,wallet,,False,2026-08-14T15:57:33Z,False,,False
TXN_0010,M_ALPHA,PLN_STD,199999,INR,netbanking,,False,2026-08-14T22:10:50Z,False,,False
TXN_0011,M_ALPHA,PLN_STD,77777,INR,card,amex,False,2026-08-14T05:23:07Z,False,,False
TXN_0012,M_GAMMA,PLN_STD,88888,INR,netbanking,,False,2026-08-14T12:36:24Z,False,,False
TXN_0013,M_BETA,PLN_STD,9999,INR,card,mastercard,False,2026-08-14T19:49:41Z,False,,False
TXN_0014,M_BETA,PLN_STD,375050,INR,card,amex,False,2026-08-14T02:02:58Z,False,,False
TXN_0015,M_ALPHA,PLN_STD,242717,INR,netbanking,,False,2026-08-14T09:15:15Z,False,,False
TXN_0016,M_GAMMA,PLN_STD,199999,INR,upi,,False,2026-08-14T16:28:32Z,False,,False
TXN_0017,M_GAMMA,PLN_STD,144973,INR,card,,False,2026-08-14T23:41:49Z,False,,False
TXN_0018,M_ALPHA,PLN_STD,123456,INR,upi,,False,2026-08-14T06:54:06Z,False,,False
TXN_0019,M_GAMMA,PLN_STD,55555,INR,netbanking,,False,2026-08-14T13:07:23Z,False,,False
TXN_0020,M_GAMMA,PLN_STD,123456,INR,upi,,False,2026-08-14T20:20:40Z,False,,False
TXN_0021,M_ALPHA,PLN_STD,133749,INR,upi,,False,2026-08-14T03:33:57Z,False,,False
TXN_0022,M_BETA,PLN_STD,199999,INR,wallet,,False,2026-08-14T10:46:14Z,False,,False
TXN_0023,M_ALPHA,PLN_STD,375050,INR,netbanking,,False,2026-08-14T17:59:31Z,False,,False
TXN_0024,M_GAMMA,PLN_STD,77777,INR,wallet,,False,2026-08-14T00:12:48Z,False,,False
TXN_0025,M_ALPHA,PLN_STD,250001,INR,netbanking,,False,2026-08-14T07:25:05Z,False,,False
TXN_0026,M_GAMMA,PLN_STD,123456,INR,netbanking,,False,2026-08-14T14:38:22Z,False,,False
TXN_0027,M_BETA,PLN_STD,55555,INR,wallet,,False,2026-08-14T21:51:39Z,False,,False
TXN_0028,M_ALPHA,PLN_STD,250001,INR,wallet,,False,2026-08-14T04:04:56Z,False,,False
TXN_0029,M_GAMMA,PLN_STD,133749,INR,card,mastercard,False,2026-08-14T11:17:13Z,False,,False
TXN_0030,M_GAMMA,PLN_STD,88876,INR,wallet,,False,2026-08-14T18:30:30Z,False,,False
TXN_0031,M_GAMMA,PLN_STD,55555,INR,wallet,,False,2026-08-14T01:43:47Z,False,,False
TXN_0032,M_GAMMA,PLN_STD,123456,INR,netbanking,,False,2026-08-14T08:56:04Z,False,,False
TXN_0033,M_BETA,PLN_STD,133749,INR,card,,False,2026-08-14T15:09:21Z,False,,False
TXN_0034,M_ALPHA,PLN_STD,407967,INR,netbanking,,False,2026-08-14T22:22:38Z,False,,False
TXN_0035,M_BETA,PLN_STD,55555,INR,upi,,False,2026-08-14T05:35:55Z,False,,False
TXN_0036,M_GAMMA,PLN_STD,88888,INR,upi,,False,2026-08-14T12:48:12Z,False,,False
TXN_0037,M_GAMMA,PLN_STD,9999,INR,netbanking,,False,2026-08-14T19:01:29Z,False,,False
TXN_0038,M_ALPHA,PLN_STD,999950,INR,upi,,False,2026-08-14T02:14:46Z,False,,False
TXN_0039,M_BETA,PLN_STD,250001,INR,card,,False,2026-08-14T09:27:03Z,False,,False
TXN_0040,M_BETA,PLN_STD,133749,INR,card,rupay,False,2026-08-14T16:40:20Z,False,,False
TXN_0041,M_GAMMA,PLN_STD,133749,INR,upi,,False,2026-08-14T23:53:37Z,False,,False
TXN_0042,M_ALPHA,PLN_STD,9999,INR,wallet,,False,2026-08-14T06:06:54Z,False,,False
TXN_0043,M_ALPHA,PLN_STD,123456,INR,upi,,False,2026-08-14T13:19:11Z,False,,False
TXN_0044,M_BETA,PLN_STD,77777,INR,upi,,False,2026-08-14T20:32:28Z,False,,False
TXN_0045,M_ENT,PLN_ENT_2024,999950,INR,netbanking,,False,2026-08-14T03:45:45Z,False,,False
TXN_0046,M_ENT,PLN_ENT_2024,375050,INR,netbanking,,False,2026-08-14T10:58:02Z,False,,False
TXN_0047,M_ENT,PLN_ENT_2024,123456,INR,netbanking,,False,2026-08-14T17:11:19Z,False,,False
TXN_0048,M_ENT,PLN_ENT_2024,375050,INR,netbanking,,False,2026-08-14T00:24:36Z,False,,False
TXN_0049,M_ENT,PLN_ENT_2024,88888,INR,netbanking,,False,2026-08-14T07:37:53Z,False,,False
TXN_0050,M_ENT,PLN_ENT_2024,154593,INR,netbanking,,False,2026-08-14T14:50:10Z,False,,False
TXN_0051,M_ENT,PLN_ENT_2024,199999,INR,netbanking,,False,2026-08-14T21:03:27Z,False,,False
TXN_0052,M_ENT,PLN_ENT_2024,123456,INR,netbanking,,False,2026-08-14T04:16:44Z,False,,False
TXN_0053,M_ENT,PLN_ENT_2024,9999,INR,netbanking,,False,2026-08-14T11:29:01Z,False,,False
TXN_0054,M_ENT,PLN_ENT_2024,375050,INR,netbanking,,False,2026-08-14T18:42:18Z,False,,False
TXN_0055,M_ALPHA,PLN_STD,133749,INR,netbanking,,False,2026-08-14T01:55:35Z,False,,False
TXN_0056,M_BETA,PLN_STD,133750,INR,netbanking,,False,2026-08-14T08:08:52Z,False,,False
TXN_0057,M_ALPHA,PLN_STD,133749,INR,netbanking,,False,2026-08-14T15:21:09Z,False,,False
TXN_0058,M_GAMMA,PLN_STD,100000,INR,card,visa,False,2026-08-14T22:34:26Z,False,,False
TXN_0059,M_ALPHA,PLN_STD,100000,INR,card,visa,False,2026-08-14T05:47:43Z,False,,False
TXN_0060,M_GAMMA,PLN_STD,50000,INR,card,visa,False,2026-08-14T12:00:00Z,True,TXN_0001,False
TXN_0061,M_ALPHA,PLN_STD,50000,INR,card,visa,False,2026-08-14T19:13:17Z,True,TXN_0002,False
TXN_0062,M_ALPHA,PLN_STD,50000,INR,upi,,False,2026-08-14T02:26:34Z,False,,False
